"MetricId","Description","DataType","MetricFunction","MetricParameter","MetricFormat","DefaultValue","ValueType","MetricType"
QueuePctAnsweredCalls60secInc,QM - Percent of Answered Calls in 60 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls60sec]/[QueueNumIncomingCompletedCalls]),##0.0%,,String,Agent
QueuePctAnsweredCallbacks60secInc,QM - Percent of Answered Callbacks in 60 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks60sec]/[QueueNumIncomingCompletedCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacks60secInc,QM - Percent of Answered Calls and Callbacks in 60 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks60sec]/[QueueNumIncomingCompletedCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChats60secInc,QM - Percent of Answered Chats in 60 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedChats]==0 ? 0 : ((double)[QueueNumAnsweredChats60sec]/[QueueNumIncomingCompletedChats]),##0.0%,,String,Agent
QueuePctAnsweredInteractions60secInc,QM - Percent of Answered Interactions in 60 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions60sec]/[QueueNumIncomingCompletedInteractions]),##0.0%,,String,Agent
QueuePctAnsweredCalls60secAns,QM - Percent of Answered Calls in 60 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls60sec]/[QueueNumAnsweredCalls]),##0.0%,,String,Agent
QueuePctAnsweredCallbacks60secAns,QM - Percent of Answered Callbacks in 60 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks60sec]/[QueueNumAnsweredCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacks60secAns,QM - Percent of Answered Calls and Callbacks in 60 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks60sec]/[QueueNumAnsweredCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChats60secAns,QM - Percent of Answered Chats in 60 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredChats]==0 ? 0 : ((double)[QueueNumAnsweredChats60sec]/[QueueNumAnsweredChats]),##0.0%,,String,Agent
QueuePctAnsweredInteractions60secAns,QM - Percent of Answered Interactions in 60 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions60sec]/[QueueNumAnsweredInteractions]),##0.0%,,String,Agent
